,Snow,Slope-Face,Location,Elevation,pH, ORP,DO,Conductivity ,TDS,Nitrate,Ammonium,Potassium,[Algae],[Pollen],A-Otu0001,A-Otu0002,B-Otu0001,B-Otu0002,B-Otu0003,B-Otu0004,B-Otu0005,F-Otu0001,F-Otu0002,F-Otu0003,F-Otu0005,F-Otu0006
C_M5,A,E,Cascades,1818,5.37,28.8,47.4,4,2,112,-142,-207,128000,2400,0.007448059,0.001767749,0.017296719,0.011850862,0.005679644,0.017762282,0.060141297,0.033693892,0.020140637,0.020241814,0.003732692,0.000842988
C_P5,B,E,Cascades,1818,5.51,33.8,50.7,3,2,124,-276,-192,24000,800,0.013634459,0.244368927,0.027788149,0.019138173,0.009080117,0.046977558,0.104071933,0.011257635,0.074438588,0.008989012,0.003136185,0.000605222
C_A5,C,E,Cascades,1818,5.56,29.8,49,3,1,124,-253,-203,1000,800,0.0073703,0.214778913,0.027134785,0.019356824,0.005565076,0.018986319,0.090789981,0.057514439,0.031755183,0.087707177,0.026987455,0.002961266
C_M6,A,E,Cascades,1825,5.39,19.6,39.5,4,2,97,-128,-195,75000,3000,0.059020544,0.021286869,0.043330956,0.019770698,0.015354539,0.030968811,0.029526868,0.024925136,0.118212266,0.010076807,0.013267778,2.16E-05
C_P6,B,E,Cascades,1825,5.7,35.9,45.4,3,2,127,-251,-202,15000,1400,0.033287892,0.011635485,0.049514923,0.027236054,0.01986169,0.021540979,0.054909013,0.036095857,0.046862131,0.010245856,0.016250316,7.57E-05
C_A6,C,E,Cascades,1825,5.98,30.2,47.4,3,2,123,-231,-216,0,600,0.025451738,0.008667249,0.052395852,0.032669521,0.038121866,0.020805182,0.050867052,0.034139519,0.06262795,0.022593804,0.053423593,0.000172921
C_M7,A,N,Cascades,2091,6.74,5,43.4,3,1,123,-281,-197,24000,1000,0.062395008,1.32E-05,0.016480363,0.015774078,0.022750264,0.103083816,0.014686363,0.010924204,0.010100713,0.01639778,0.004030946,0
C_P7,B,N,Cascades,2091,6.99,11.1,38.7,3,1,119,-202,-205,11000,0,0.038557996,1.85E-05,0.034448556,0.049750816,0.024147017,0.072978019,0.008811818,0.034567765,0.013746068,0.052713976,0.017009508,0
C_A7,C,N,Cascades,2091,6.61,3.4,47,2,1,129,-262,-213,0,0,0.001688983,8.97E-05,0.083920292,0.055510697,0.022484564,0.027114471,0.000599443,0.086771015,0.017061989,0.099195178,0.076967572,0
C_M8,A,N,Cascades,2091,7.14,9.4,35.1,5,2,127,-267,-185,1061000,1200,0.015521693,0.097107487,0.041505996,0.014215411,0.114850684,0.042363353,0.032147292,0,0.024997843,0.000521848,0.001346661,0.504625627
C_P8,B,N,Cascades,2091,8.08,39.4,37.4,2,1,123,-224,-209,15000,400,0.051849195,0.169316092,0.017604594,0.039564823,0.048937565,0.027245127,0.013461785,0,0.032139524,0.001749293,0.001563573,0.025819211
C_A8,C,N,Cascades,2091,6.53,28.6,47.3,2,1,112,-269,-213,3000,0,0.041267655,0.086464053,0.012008515,0.050812834,0.066544461,0.033630059,0.088058232,0,0.03289644,0.00705597,0.002720437,0.024954608
C_M9,A,S,Cascades,2127,7.46,-26.7,45.5,6,3,109,-230,-201,28000,200,0.048495047,0.000981497,0.021094307,0.027717085,0.058317509,0.040355383,0.040753586,0,0.052178193,0.000132299,0.00081342,0.000594415
C_P9,B,S,Cascades,2127,8.03,-2.9,42.6,1,1,132,-160,-217,8000,0,0.066384539,0.001955078,0.024968516,0.061611049,0.116425383,0.030071414,0.037011347,0,0.13362708,0.005505127,0.002837931,0.000237766
C_A9,C,S,Cascades,2127,8.47,11.8,43.1,2,1,120,-172,-232,0,0,0.012849863,0.000377296,0.012585258,0.010940338,0.021599709,0.013536606,0.018180261,0,0.047285691,0.000330749,0.002702361,4.32E-05
C_M10,A,S,Cascades,1886,8.98,0.6,32.7,6,3,115,-150,-205,17000,0,0.059987979,0.061090253,0.023178384,0.046959898,0.01827724,0.030738445,0.01312781,0,0.06698316,0.008592113,0.010863671,0.001286097
C_P10,B,S,Cascades,1886,5.37,36,62.2,2,1,107,-231,-218,15000,200,0.039241015,0.069488382,0.025178874,0.043131951,0.034104676,0.048301306,0.051072575,0,0.058047235,0.003461835,0.022486533,0.001999395
C_A10,C,S,Cascades,1886,7.45,-1.9,28.2,0,0,98,-123,-161,0,200,0.01712241,0.010593304,0.015861827,0.020681222,0.008587719,0.010796277,0.031984586,0,0.031576739,0.001815442,0.012752612,0.001156407
