OTU,family,genus,species
F.Otu0001,Chytridiomycota_unclassified,Chytridiomycota,Chytridiomycota_unclassified
A.Otu0001,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
B.Otu0001,Sphingobacteriaceae,Solitalea,Solitalea
B.Otu0002,Hymenobacteraceae,Hymenobacter,Hymenobacter
A.Otu0002,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu0002,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0004,Burkholderiaceae,Polaromonas,Polaromonas
B.Otu0003,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0003,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0005,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
B.Otu0006,Acetobacteraceae,uncultured,uncultured
A.Otu0004,Koliellaceae,Raphidonema,Raphidonema_nivale
B.Otu0005,Burkholderiaceae,Rhizobacter,Rhizobacter
F.Otu0011,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0010,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter
F.Otu0008,unclassified_Leucosporidiales,unclassified,unclassified_Leucosporidiales
F.Otu0013,Trigonopsidaceae,Trigonopsis,Trigonopsis
B.Otu0008,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0015,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
F.Otu0009,Agaricomycetes_unclassified,Agaricomycetes,Agaricomycetes_unclassified
B.Otu0007,Microbacteriaceae,Parafrigoribacterium,Parafrigoribacterium
B.Otu0017,Chitinophagaceae,Ferruginibacter,Ferruginibacter
B.Otu0018,Solimonadaceae,uncultured,uncultured
A.Otu0006,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu0016,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0021,Leucosporidiaceae,Leucosporidium,Leucosporidium
B.Otu0011,uncultured,uncultured_ge,uncultured_ge
B.Otu0022,Nakamurellaceae,Nakamurella,Nakamurella
F.Otu0022,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
B.Otu0012,Chitinophagaceae,uncultured,uncultured
F.Otu0020,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0024,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0025,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
A.Otu0009,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_reinhardtii
F.Otu0026,Chytridiomycota_unclassified,Chytridiomycota,Chytridiomycota_unclassified
B.Otu0020,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
B.Otu0024,Burkholderiaceae,Herminiimonas,Herminiimonas
F.Otu0027,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0016,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
B.Otu0009,Burkholderiaceae,Massilia,Massilia
F.Otu0028,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0014,Bacillaceae,Caldalkalibacillus,Caldalkalibacillus
B.Otu0025,Spirosomaceae,Arcicella,Arcicella
B.Otu0015,Micrococcaceae,Nesterenkonia,Nesterenkonia
F.Otu0029,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0027,Burkholderiaceae,Piscinibacter,Piscinibacter
B.Otu0023,Sphingomonadaceae,Novosphingobium,Novosphingobium
F.Otu0031,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
A.Otu0005,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_sp
F.Otu0017,Dothioraceae,Hormonema,Hormonema
F.Otu0036,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0012,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0039,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0030,Burkholderiaceae,Rhodoferax,Rhodoferax
A.Otu0015,Chlamydomonadaceae,Chlainomonas,Chlainomonas_sp
F.Otu0046,Dermateaceae,Scleropezicula,Scleropezicula
F.Otu0047,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu0048,Monoblepharidales_incertae_sedis,Hyaloraphidium,Hyaloraphidium
B.Otu0033,uncultured,uncultured_ge,uncultured_ge
F.Otu0050,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0053,Chytridiomycota_unclassified,Chytridiomycota,Chytridiomycota_unclassified
F.Otu0038,Chaetothyriales_fam_Incertae_sedis,Sarcinomyces,Sarcinomyces
F.Otu0055,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0036,Burkholderiaceae,Glaciimonas,Glaciimonas
F.Otu0007,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella
A.Otu0022,Chlorococcaceae,Chlorococcum,Chlorococcum_vacuolatum
A.Otu0020,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
B.Otu0039,Acetobacteraceae,uncultured,uncultured
B.Otu0026,Halomonadaceae,Halomonas,Halomonas
B.Otu0041,Prevotellaceae,Prevotella_9,Prevotella_9
B.Otu0028,Bacillaceae,Caldalkalibacillus,Caldalkalibacillus
B.Otu0031,Pseudomonadaceae,Pseudomonas,Pseudomonas
B.Otu0043,Methylophilaceae,Methylotenera,Methylotenera
F.Otu0018,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0032,Micrococcaceae,Nesterenkonia,Nesterenkonia
F.Otu0068,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
B.Otu0037,Burkholderiaceae,Actimicrobium,Actimicrobium
B.Otu0047,Chitinophagaceae,Ferruginibacter,Ferruginibacter
F.Otu0066,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0081,Saccharomycetaceae,Nakaseomyces,Nakaseomyces
F.Otu0082,Trapeliaceae,Placynthiella,Placynthiella
A.Otu0030,Chlamydomonadaceae,Chloromonas,Chloromonas_nivalis_subsp_tatrae
