,Snow,Slope-Face,Location,Elevation,pH, ORP,DO,Conductivity ,TDS,Nitrate,Ammonium,Potassium,[Algae],[Pollen],A-Otu0001,A-Otu0002,B-Otu0001,B-Otu0002,B-Otu0003,B-Otu0004,B-Otu0005,F-Otu0001,F-Otu0002,F-Otu0003,F-Otu0005,F-Otu0006
R_M2,A,W,Rockies,3549,8.59,-11.5,51.9,6,3,113,-171,-170,183000,1000,0.048379459,0,0.030510264,0.053639673,0.044440165,0.051547065,0.035915222,0.043619383,0.013836271,0.062812833,0.035790463,9.73E-05
R_P2,B,W,Rockies,3549,9.28,1.1,59.8,11,5,92,-223,-192,23000,400,0.011829188,0,0.03198277,0.016725208,0.008446337,0.035620838,0.014181118,0.015650704,0.003829682,0.005394877,0.00319945,7.57E-05
R_A2,C,W,Rockies,3549,9.13,-7.5,56.9,4,2,94,-262,-221,7000,200,0.010346862,0,0.038682184,0.018643086,0.008819292,0.014932558,0.017058446,0.043813753,0.011565522,0.060460843,0.036685225,0.000335034
R_M3,A,E,Rockies,3633,8.35,-11.9,55.7,16,8,70,-203.9,-180,44000,1600,0.001716304,0,0.053426745,0.034952857,0.012704851,0.029373438,0.05394134,0.130801261,0.01568346,0.20701187,0.183263439,0.003296299
R_P3,B,E,Rockies,3633,8.29,-12.9,51.7,4,2,94,-194,-203,6000,200,0.025439129,0,0.044221146,0.062796447,0.021346197,0.048469782,0.014549347,0.080184572,0.00656713,0.062577634,0.073027006,7.57E-05
R_A3,C,E,Rockies,3633,7.61,-10.1,53,77,39,-21,-227,-191,2000,400,0.010262097,0,0.03870308,0.059930563,0.01844056,0.022806276,0.014172554,0.072575713,0.005490584,0.02349785,0.040246195,7.57E-05
R_M4,A,E,Rockies,3280,7.17,-4.7,51.2,4,2,70,-170,-181,80000,3600,0.03173201,0,0.041663416,0.021085725,0.009631018,0.016500425,0.024371655,0.054485118,0.00152952,0.02812833,0.031623947,0
R_P4,B,E,Rockies,3280,7.08,-9.4,55.6,3,1,97,-207,-203,13000,600,0.033751644,0,0.059602354,0.043545825,0.010123416,0.012680468,0.005129523,0.077634064,0.001409903,0.039873581,0.112260945,0
R_A4,C,E,Rockies,3280,6.93,-11.5,57.8,3,2,72,-168,-222,0,200,0.013104157,0,0.069209165,0.036786399,0.029702343,0.014581851,0.007081995,0.15134597,0.001535402,0.145691081,0.208000434,1.08E-05
R_M1,A,E,Rockies,3950,6.6,3.5,66.1,5,3,109,-220,-179,40000,400,0.096152256,0,0.008961807,0.04819215,0.078778852,0.06518682,0.043271248,0,0.007218157,0.007202969,0.002105853,0.077987204
R_P1,B,E,Rockies,3950,6.41,-0.6,63.9,3,2,99,-290,-207,10000,600,0.065492061,0,0.027526246,0.026377069,0.0705324,0.038007021,0.019199315,0,0.026252834,1.47E-05,0.000551318,0.143945616
R_A1,C,E,Rockies,3950,6.18,-1.3,63.8,4,2,102,-303,-212,8000,800,0.050220458,0,0.009213958,0.010632665,0.036344845,0.013038052,0.010926996,0,0.030404107,7.35E-06,0.000352482,0.208704392
