otu_id,All_17a,All_17b,All_17c,All_18a,All_18b,All_18c,All_19a,All_19b,All_19c,All_20a,All_20b,All_20c,All_21a,All_21b,All_21c,All_22a,All_22b,All_22c
FOtu0001,27603,9904,27726,82773,50742,45927,34479,49128,95774,21322,7124,36396,15773,22842,21604,6913,21875,54910
AOtu0001,69061,16886,14770,2450,36314,14649,45297,48180,18706,10632,19463,10521,84251,47518,36332,89068,55041,2411
BOtu0001,21901,22958,27767,38351,31743,27782,29907,42784,49680,12416,19947,19478,31104,35543,37611,11830,24728,60240
BOtu0002,34345,10709,11937,22380,40208,38373,13501,27882,23554,7588,12254,12394,12659,17439,20918,10100,31855,35543
AOtu0002,670,92619,81404,8068,4410,3285,5,7,34,36805,64173,32771,372,741,143,23154,26337,4015
FOtu0002,7056,1953,5898,7998,3349,2800,780,719,783,10271,37961,16194,60284,23898,31938,5151,7010,8701
BOtu0004,14992,10360,4343,8543,14097,6633,4799,3688,4241,5166,13663,5522,9007,6265,6051,29981,21225,7886
BOtu0003,18231,3465,3618,5212,8757,7565,3951,4153,12185,2330,3725,2283,6299,8148,15639,9333,9906,9224
FOtu0003,8546,734,8226,28165,8514,3197,3827,5425,19822,2754,1223,11933,1371,1394,3074,2231,7172,13496
FOtu0005,3960,354,4059,20277,8080,4453,3499,12421,23014,413,347,2986,1468,1798,5911,446,1882,8516
BOtu0006,5278,1291,3627,5259,5821,4855,1029,5031,7633,3880,7267,3364,5390,6104,7753,3596,4418,12513
AOtu0004,23819,15,10,50,32880,31107,283,86,17,314,660,513,653,1998,125,701,132,45
BOtu0005,4194,1656,1992,6299,1699,1655,2846,599,827,7023,12153,10602,3448,6412,5940,1715,1029,70
FOtu0011,639,280,2454,3210,1295,1198,16,864,5698,117,129,1962,471,2136,3678,913,3730,30452
BOtu0010,3765,7090,4659,6815,947,559,32,35,176,203,1021,542,13771,4759,1721,9446,2512,526
FOtu0008,2949,204,744,12466,4975,3535,2996,2166,3557,912,936,8015,903,636,1490,436,1484,5630
