otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
BOtu0059,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,Acetobacteraceae_unclassified
BOtu0106,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacteraceae_unclassified,Acetobacteraceae_unclassified
BOtu0048,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,Tetracystis_excentrica
BOtu0037,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Actimicrobium,Actimicrobium
FOtu0009,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes,Agaricomycetes_unclassified
FOtu0455,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified,Agaricomycetes,Chloromonas_pichinchae
FOtu0069,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria
BOtu0025,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,Arcicella
FOtu0116,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
FOtu0134,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
FOtu0165,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
FOtu0199,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
FOtu0209,Fungi,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
AOtu0079,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Astrephomenaceae,Astrephomene,unclassified_Microbotryomycetes
FOtu0030,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium
FOtu0032,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Rickettsia
FOtu0377,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Catillariaceae,Austrolecia,Austrolecia
BOtu0038,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,Bacillaceae_unclassified
AOtu0042,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Haematococcaceae,Balticola,Balticola_sp
FOtu0158,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Bryoria,Bryoria
FOtu0183,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera
BOtu0020,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_ge,Burkholderiaceae_ge
BOtu0016,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,Burkholderiaceae_unclassified
