Sample_ID,Snow,Face,Location,Elevation,pH, ORP,DO,Conductivity ,Resistivity ,TDS,Nitrate,Ammonium,Potassium,Snow Algae,Pollen,Chytridiomycota_FOtu0001,uc_Microbotryomycete_FOtu0002,Leucosporidiaceae_FOtu0003,Sanguina_nivaloides_AOtu0001,Sanguina_auruntia_AOtu0002,Soletalia_BOtu0001,Hymenobacter_BOtu0002,Ferruginobacter_BOtu0003,Polaromonas_BOtu0004
All_17a,A,E,Cascades,1818,5.37,28.8,47.4,4,0.25,2,112,-142,-207,128000,2400,27603,7056,8546,69061,670,21901,34345,18231,14992
All_17b,B,E,Cascades,1818,5.51,33.8,50.7,3,0.33,2,124,-276,-192,24000,800,9904,1953,734,16886,92619,22958,10709,3465,10360
All_17c,C,E,Cascades,1818,5.56,29.8,49,3,0.33,1,124,-253,-203,1000,800,27726,5898,8226,14770,81404,27767,11937,3618,4343
All_18a,A,E,Cascades,1825,5.39,19.6,39.5,4,0.25,2,97,-128,-195,75000,3000,82773,7998,28165,2450,8068,38351,22380,5212,8543
All_18b,B,E,Cascades,1825,5.7,35.9,45.4,3,0.33,2,127,-251,-202,15000,1400,50742,3349,8514,36314,4410,31743,40208,8757,14097
All_18c,C,E,Cascades,1825,5.98,30.2,47.4,3,0.33,2,123,-231,-216,0,600,45927,2800,3197,14649,3285,27782,38373,7565,6633
All_19a,A,N,Cascades,2091,6.74,5,43.4,3,0.33,1,123,-281,-197,24000,1000,34479,780,3827,45297,5,29907,13501,3951,4799
All_19b,B,N,Cascades,2091,6.99,11.1,38.7,3,0.33,1,119,-202,-205,11000,0,49128,719,5425,48180,7,42784,27882,4153,3688
All_19c,C,N,Cascades,2091,6.61,3.4,47,2,0.5,1,129,-262,-213,0,0,95774,783,19822,18706,34,49680,23554,12185,4241
All_20a,A,N,Cascades,2091,7.14,9.4,35.1,5,0.2,2,127,-267,-185,1061000,1200,21322,10271,2754,10632,36805,12416,7588,2330,5166
All_20b,B,N,Cascades,2091,8.08,39.4,37.4,2,0.5,1,123,-224,-209,15000,400,7124,37961,1223,19463,64173,19947,12254,3725,13663
All_20c,C,N,Cascades,2091,6.53,28.6,47.3,2,0.5,1,112,-269,-213,3000,0,36396,16194,11933,10521,32771,19478,12394,2283,5522
All_21a,A,S,Cascades,2127,7.46,-26.7,45.5,6,0.167,3,109,-230,-201,28000,200,15773,60284,1371,84251,372,31104,12659,6299,9007
All_21b,B,S,Cascades,2127,8.03,-2.9,42.6,1,1,1,132,-160,-217,8000,0,22842,23898,1394,47518,741,35543,17439,8148,6265
All_21c,C,S,Cascades,2127,8.47,11.8,43.1,2,0.5,1,120,-172,-232,0,0,21604,31938,3074,36332,143,37611,20918,15639,6051
All_22a,A,S,Cascades,1886,8.98,0.6,32.7,6,0.167,3,115,-150,-205,17000,0,6913,5151,2231,89068,23154,11830,10100,9333,29981
All_22b,B,S,Cascades,1886,5.37,36,62.2,2,0.5,1,107,-231,-218,15000,200,21875,7010,7172,55041,26337,24728,31855,9906,21225
All_22c,C,S,Cascades,1886,7.45,-1.9,28.2,0,1,0,98,-123,-161,0,200,54910,8701,13496,2411,4015,60240,35543,9224,7886
