otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
AOtu0001,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_nivaloides
AOtu0005,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_aurantia
AOtu0006,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_aurantia
AOtu0009,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_reinhardtii
AOtu0015,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlainomonas,Chlainomonas_sp
AOtu0020,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_aurantia
AOtu0025,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_callunae
AOtu0026,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Neochloridaceae,Neochloris,Neochloris_sp
AOtu0028,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia_sp
AOtu0039,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Haematococcaceae,Haematococcus,Haematococcus_rubicundus
AOtu0043,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_aurantia
AOtu0045,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_sp
AOtu0047,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
AOtu0049,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
AOtu0057,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Koliellaceae,Raphidonema,Raphidonema_nivale
AOtu0059,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_sp
AOtu0065,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
AOtu0073,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Microglena,Microglena_monadina
AOtu0082,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
AOtu0086,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris_sp
AOtu0089,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_nivalis_subsp_tatrae
AOtu0091,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
AOtu0092,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Astrephomenaceae,Astrephomene,Astrephomene_gubernaculifera
AOtu0093,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia_sp
AOtu0102,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chloromonas,Chloromonas_insignis
AOtu0103,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_nivaloides
AOtu0107,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_unclassified, ,
AOtu0109,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_nivaloides
AOtu0119,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Sanguina,Sanguina_aurantia
BOtu0001,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea
BOtu0002,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter
BOtu0003,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter
BOtu0004,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,Polaromonas
BOtu0005,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter,Rhizobacter
BOtu0006,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured
BOtu0007,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Parafrigoribacterium,Parafrigoribacterium
BOtu0008,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter
BOtu0009,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,Massilia
BOtu0010,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter
BOtu0011,Bacteria,Actinobacteria,Actinobacteria,Frankiales,uncultured,uncultured_ge,uncultured_ge
BOtu0012,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured
BOtu0013,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola,Marisediminicola
BOtu0014,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,Caldalkalibacillus
