,Snow,Slope-Face,Location,Elevation,pH, ORP,DO,Conductivity ,TDS,Nitrate,Ammonium,Potassium,[Algae],[Pollen],Sanguina_nivaloides_AOtu0001,uc_Microbotryomycete_FOtu0002,Ferruginobacter_BOtu0003,Hymenobacter_BOtu0002,Soletalia_BOtu0001,Polaromonas_BOtu0004
R_M2,A,W,Rockies,3549,8.59,-11.5,51.9,6,3,113,-171,-170,183000,1000,22157,12748,47116,9102,29794,12321
R_P2,B,W,Rockies,3549,9.28,1.1,59.8,11,5,92,-223,-192,23000,400,74014,16390,20076,25333,12637,7924
R_A2,C,W,Rockies,3549,9.13,-7.5,56.9,4,2,94,-262,-221,7000,200,58909,16776,27299,32535,8620,9781
R_M3,A,E,Rockies,3633,8.35,-11.9,55.7,16,8,70,-203.9,-180,44000,1600,69226,26609,23924,17747,15142,11737
R_P3,B,E,Rockies,3633,8.29,-12.9,51.7,4,2,94,-194,-203,6000,200,94763,68145,47762,39449,17923,8746
R_A3,C,E,Rockies,3633,7.61,-10.1,53,77,39,-21,-227,-191,2000,400,18343,24114,8861,7005,9034,3937
R_M4,A,E,Rockies,3280,7.17,-4.7,51.2,4,2,70,-170,-181,80000,3600,85632,34159,7498,30068,16638,8940
R_P4,B,E,Rockies,3280,7.08,-9.4,55.6,3,1,97,-207,-203,13000,600,56016,29602,13991,27617,18074,14048
R_A4,C,E,Rockies,3280,6.93,-11.5,57.8,3,2,72,-168,-222,0,200,24442,16103,3523,13242,11386,3140
R_M1,A,E,Rockies,3950,6.6,3.5,66.1,5,3,109,-220,-179,40000,400,137256,3681,32318,30857,6433,18959
R_P1,B,E,Rockies,3950,6.41,-0.6,63.9,3,2,99,-290,-207,10000,600,93489,13388,28935,16889,19759,11054
R_A1,C,E,Rockies,3950,6.18,-1.3,63.8,4,2,102,-303,-212,8000,800,71689,15505,14910,6808,6614,3792
,,,,,,,,,,,,,,,805936,277220,276213,256652,172054,114379
