"","x"
"ab","Fungi"
"ac","Viridiplantae"
"ad","Eubacteria"
"ae","Chytridiomycota_unclassified"
"af","Basidiomycota"
"ag","Ascomycota"
"ah","Chytridiomycota"
"ai","Chlorophyta"
"aj","Bacteroidetes"
"ak","Proteobacteria"
"al","Actinobacteria"
"am","Firmicutes"
"an","Acidobacteria"
"ao","Armatimonadetes"
"ap","Chytridiomycota_unclassified"
"aq","Microbotryomycetes"
"ar","Dothideomycetes"
"as","Agaricomycetes"
"at","Saccharomycetes"
"au","Monoblepharidomycetes"
"av","Lecanoromycetes"
"aw","Eurotiomycetes"
"ax","Leotiomycetes"
"ay","Arthoniomycetes"
"az","Ascomycota_unclassified"
"ba","Ustilaginomycetes"
"bb","Sordariomycetes"
"bc","Tremellomycetes"
"bd","Exobasidiomycetes"
"be","Chlorophyceae"
"bf","Trebouxiophyceae"
"bg","Bacteroidia"
"bh","Gammaproteobacteria"
"bi","Alphaproteobacteria"
"bj","Actinobacteria"
"bk","Bacilli"
"bl","Clostridia"
"bm","Proteobacteria_unclassified"
"bn","Acidobacteriia"
"bo","Armatimonadia"
"bp","Chytridiomycota_unclassified"
"bq","unclassified_Microbotryomycetes"
"br","Leucosporidiales"
"bs","Microbotryomycetes_unclassified"
"bt","Capnodiales"
"bu","Agaricomycetes_unclassified"
"bv","Saccharomycetales"
"bw","Monoblepharidales"
"bx","Dothideales"
"by","Rhizocarpales"
"bz","Chaetothyriales"
"ca","Helotiales"
"cb","Sporidiobolales"
"cc","Pleosporales"
"cd","Lichenostigmatales"
"ce","Ascomycota_unclassified"
"cf","Lecanorales"
"cg","Trapeliales"
"ch","Ustilaginales"
"ci","Lecanoromycetes_unclassified"
"cj","Rhytismatales"
"ck","Dothideomycetes_unclassified"
"cl","Cantharellales"
"cm","Sordariales"
"cn","Microbotryomycetes_ord_Incertae_sedis"
"co","Mytilinidiales"
"cp","Venturiales"
"cq","Tremellales"
"cr","Tilletiales"
"cs","Chlamydomonadales"
"ct","Prasiolales"
"cu","Sphaeropleales"
"cv","Trebouxiales"
"cw","Chlamydopodium"
"cx","Chlorellales"
"cy","Sphingobacteriales"
"cz","Cytophagales"
"da","Chitinophagales"
"db","Betaproteobacteriales"
"dc","Acetobacterales"
"dd","Micrococcales"
"de","Xanthomonadales"
"df","Frankiales"
"dg","Bacillales"
"dh","Salinisphaerales"
"di","Sphingomonadales"
"dj","Oceanospirillales"
"dk","Pseudomonadales"
"dl","Bacteroidales"
"dm","Clostridiales"
"dn","Rickettsiales"
"do","Rhizobiales"
"dp","Proteobacteria_unclassified"
"dq","Acidobacteriales"
"dr","Armatimonadales"
"ds","Flavobacteriales"
"dt","Pseudonocardiales"
"du","Chytridiomycota_unclassified"
"dv","unclassified_Microbotryomycetes"
"dw","Leucosporidiaceae"
"dx","Leucosporidiales_unclassified"
"dy","Microbotryomycetes_unclassified"
"dz","Mycosphaerellaceae"
"ea","unclassified_Leucosporidiales"
"eb","Agaricomycetes_unclassified"
"ec","Trigonopsidaceae"
"ed","Monoblepharidales_incertae_sedis"
"ee","Dothioraceae"
"ef","Rhizocarpaceae"
"eg","Aureobasidiaceae"
"eh","Dothideaceae"
"ei","unclassified_Capnodiales"
"ej","Chaetothyriales_fam_Incertae_sedis"
"ek","Saccharomycetaceae"
"el","Dermateaceae"
"em","Sporidiobolaceae"
"en","Didymellaceae"
"eo","Cladosporiaceae"
"ep","Sporormiaceae"
"eq","Phaeococcomycetaceae"
"er","Pleosporales_fam_Incertae_sedis"
"es","Pleosporaceae"
"et","Ascomycota_unclassified"
"eu","Lecanorales_unclassified"
"ev","Helotiales_unclassified"
"ew","Chaetothyriales_unclassified"
"ex","Trapeliaceae"
"ey","Capnodiales_unclassified"
"ez","Herpotrichiellaceae"
"fa","Parmeliaceae"
"fb","Ustilaginaceae"
"fc","Lecanoromycetes_unclassified"
"fd","Capnodiales_fam_Incertae_sedis"
"fe","Hyaloscyphaceae"
