Sample_ID,Location,Elevation,pH, ORP,DO,Conductivity ,Resistivity ,TDS,Salinity,Nitrate,Ammonium,Potassium,Cell_Count
2a F,Rockies,3950,6.6,3.5,66.1,5,0.2,3,0,109,-220,-179,40000
2b F,Rockies,3950,6.41,-0.6,63.9,3,0.33,2,0,99,-290,-207,10000
2c F,Rockies,3950,6.18,-1.3,63.8,4,0.25,2,0,102,-303,-212,8000
13a F,Rockies,3549,8.59,-11.5,51.9,6,0.167,3,0,113,-171,-170,183000
13b F,Rockies,3549,9.28,1.1,59.8,11,0.091,5,0,92,-223,-192,23000
13c F,Rockies,3549,9.13,-7.5,56.9,4,0.25,2,0,94,-262,-221,7000
14a F,Rockies,3633,8.35,-11.9,55.7,16,0.0625,8,0.01,70,-203.9,-180,44000
14b F,Rockies,3633,8.29,-12.9,51.7,4,0.25,2,0,94,-194,-203,6000
14c F,Rockies,3633,7.61,-10.1,53,77,0.013,39,0.04,-21,-227,-191,2000
16a F,Rockies,3280,7.17,-4.7,51.2,4,0.25,2,0,70,-170,-181,80000
16b F,Rockies,3280,7.08,-9.4,55.6,3,0.33,1,0,97,-207,-203,13000
16c F,Rockies,3280,6.93,-11.5,57.8,3,0.33,2,0,72,-168,-222,0
17a F,Cascades,1818,5.37,28.8,47.4,4,0.25,2,0,112,-142,-207,128000
17b F,Cascades,1818,5.51,33.8,50.7,3,0.33,2,0,124,-276,-192,24000
17c F,Cascades,1818,5.56,29.8,49,3,0.33,1,0,124,-253,-203,1000
18a F,Cascades,1825,5.39,19.6,39.5,4,0.25,2,0,97,-128,-195,75000
18b F,Cascades,1825,5.7,35.9,45.4,3,0.33,2,0,127,-251,-202,15000
18c F,Cascades,1825,5.98,30.2,47.4,3,0.33,2,0,123,-231,-216,0
19a F,Cascades,2091,6.74,5,43.4,3,0.33,1,0,123,-281,-197,24000
19b F,Cascades,2091,6.99,11.1,38.7,3,0.33,1,0,119,-202,-205,11000
19c F,Cascades,2091,6.61,3.4,47,2,0.5,1,0,129,-262,-213,0
20a F,Cascades,2091,7.14,9.4,35.1,5,0.2,2,0,127,-267,-185,1061000
20b F,Cascades,2091,8.08,39.4,37.4,2,0.5,1,0,123,-224,-209,15000
20c F,Cascades,2091,6.53,28.6,47.3,2,0.5,1,0,112,-269,-213,3000
21a F,Cascades,2127,7.46,-26.7,45.5,6,0.167,3,0,109,-230,-201,28000
21b F,Cascades,2127,8.03,-2.9,42.6,1,1,1,0,132,-160,-217,8000
21c F,Cascades,2127,8.47,11.8,43.1,2,0.5,1,0,120,-172,-232,0
22a F,Cascades,1886,8.98,0.6,32.7,6,0.167,3,0,115,-150,-205,17000
22b F,Cascades,1886,5.37,36,62.2,2,0.5,1,0,107,-231,-218,15000
22c F,Cascades,1886,7.45,-1.9,28.2,0,1,0,0,98,-123,-161,0
